,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,74.52,83,90,6.91,overcast clouds
1,Vaini,TO,-21.2,-175.2,78.96,89,75,5.75,broken clouds
2,Butaritari,KI,3.0707,172.7902,82.81,70,78,9.75,broken clouds
3,Vardo,NO,70.3705,31.1107,37.6,76,100,15.57,light rain
4,Emerald,AU,-23.5333,148.1667,74.98,15,0,6.91,clear sky
5,Ushuaia,AR,-54.8,-68.3,49.66,50,40,20.71,light rain
6,Biak,ID,-0.9131,122.8766,79.59,82,84,1.97,broken clouds
7,Dikson,RU,73.5069,80.5464,28.99,90,100,6.8,overcast clouds
8,Joshimath,IN,30.5667,79.5667,59.4,27,0,6.89,clear sky
9,Atuona,PF,-9.8,-139.0333,77.85,78,22,17.92,light rain
10,Mataura,NZ,-46.1927,168.8643,56.84,46,100,4.97,overcast clouds
11,Great Yarmouth,GB,52.6083,1.7305,45.01,57,14,1.61,few clouds
12,Hithadhoo,MV,-0.6,73.0833,82.87,76,96,25.26,light rain
13,Bluff,NZ,-46.6,168.3333,54.34,51,93,7.47,overcast clouds
14,Bengkulu,ID,-3.8004,102.2655,74.82,85,96,4.21,overcast clouds
15,Severo-Kurilsk,RU,50.6789,156.125,46.42,86,72,32.99,broken clouds
16,Kuruman,ZA,-27.4524,23.4325,61.0,15,98,10.76,overcast clouds
17,Cayenne,GF,4.9333,-52.3333,82.09,84,98,1.14,light rain
18,Henties Bay,NA,-22.116,14.2845,56.86,89,1,16.6,clear sky
19,Airai,TL,-8.9266,125.4092,68.5,65,32,1.28,scattered clouds
20,Lebu,CL,-37.6167,-73.65,50.43,73,10,13.98,clear sky
21,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,90,11.5,light snow
22,Saquena,PE,-4.6667,-73.5167,84.54,64,99,3.51,light rain
23,Mahebourg,MU,-20.4081,57.7,70.25,94,75,4.61,broken clouds
24,Camana,PE,-16.6228,-72.7111,62.58,81,35,9.73,scattered clouds
25,Poum,NC,-20.2333,164.0167,76.32,72,80,7.45,broken clouds
26,Psikhikon,GR,41.0,23.6333,59.74,94,100,9.91,moderate rain
27,Albany,US,42.6001,-73.9662,70.27,87,84,1.88,broken clouds
28,Port Alfred,ZA,-33.5906,26.891,62.35,76,100,17.34,overcast clouds
29,Ust-Nera,RU,64.5667,143.2,9.18,93,98,4.68,overcast clouds
30,Tiksi,RU,71.6872,128.8694,10.76,90,99,11.05,overcast clouds
31,Neuenhagen,DE,52.5299,13.6891,47.77,86,4,8.43,clear sky
32,Zhigalovo,RU,54.8097,105.1578,25.56,46,100,4.05,overcast clouds
33,Mar Del Plata,AR,-38.0023,-57.5575,54.12,64,0,3.0,clear sky
34,Romitan,UZ,39.9343,64.3814,48.15,43,0,11.5,clear sky
35,Anadyr,RU,64.75,177.4833,7.3,84,20,8.01,few clouds
36,Sao Filipe,CV,14.8961,-24.4956,78.24,77,27,7.05,scattered clouds
37,Yellowknife,CA,62.456,-114.3525,46.92,66,75,9.22,broken clouds
38,Hambantota,LK,6.1241,81.1185,80.24,80,93,18.05,overcast clouds
39,Hobart,AU,-42.8794,147.3294,53.02,78,75,3.0,broken clouds
40,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,88,100,2.46,overcast clouds
41,Georgetown,MY,5.4112,100.3354,82.33,89,20,1.99,few clouds
42,Price,US,39.5994,-110.8107,53.11,31,1,4.61,clear sky
43,Clyde River,CA,70.4692,-68.5914,25.03,86,20,6.91,few clouds
44,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,57,40,24.16,scattered clouds
45,Kismayo,SO,-0.3582,42.5454,77.81,84,74,13.98,broken clouds
46,Pangnirtung,CA,66.1451,-65.7125,28.4,74,20,3.44,few clouds
47,Pueblo,US,38.2545,-104.6091,64.0,26,1,14.97,clear sky
48,Waipawa,NZ,-41.4122,175.5153,54.3,50,3,2.64,clear sky
49,Kapaa,US,22.0752,-159.319,84.18,73,40,5.99,light rain
50,Anloga,GH,5.7947,0.8973,80.82,83,42,9.93,scattered clouds
51,Erdenet,MN,49.0333,104.0833,18.61,71,0,3.76,clear sky
52,Dudinka,RU,69.4058,86.1778,30.56,93,96,5.79,overcast clouds
53,Busselton,AU,-33.65,115.3333,61.05,76,26,6.76,scattered clouds
54,Rikitea,PF,-23.1203,-134.9692,74.95,72,48,3.62,scattered clouds
55,Axim,GH,4.8699,-2.2405,78.49,87,30,7.29,scattered clouds
56,New Norfolk,AU,-42.7826,147.0587,52.66,69,100,5.01,light rain
57,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,90,75,8.05,broken clouds
58,Tefe,BR,-3.3542,-64.7114,93.31,62,20,3.44,few clouds
59,Lokosovo,RU,61.1333,74.8167,41.02,91,99,9.75,overcast clouds
60,Namatanai,PG,-3.6667,152.4333,84.72,69,12,5.66,few clouds
61,Balkanabat,TM,39.5108,54.3671,65.7,24,8,7.56,clear sky
62,Cape Town,ZA,-33.9258,18.4232,57.11,66,40,1.01,scattered clouds
63,Mana,GF,5.6592,-53.7767,80.56,84,80,10.47,broken clouds
64,Gore,NZ,-46.1028,168.9436,56.1,49,100,5.01,overcast clouds
65,Tianpeng,CN,30.9866,103.9393,60.64,84,100,1.61,overcast clouds
66,Torbay,CA,47.6666,-52.7314,48.58,97,90,17.27,light intensity drizzle
67,Ancud,CL,-41.8697,-73.8203,52.43,87,97,8.59,light rain
68,Mitsamiouli,KM,-11.3847,43.2844,76.42,86,4,10.51,clear sky
69,Concordia,AR,-31.393,-58.0209,62.78,52,40,8.99,scattered clouds
70,Barrow,US,71.2906,-156.7887,23.02,80,90,12.66,light snow
71,Cabo San Lucas,MX,22.8909,-109.9124,88.61,65,40,8.05,scattered clouds
72,Hilo,US,19.7297,-155.09,85.28,83,90,14.97,heavy intensity rain
73,Kodiak,US,57.79,-152.4072,42.31,45,90,12.66,overcast clouds
74,Lasa,IT,46.6166,10.7002,50.88,80,99,5.01,overcast clouds
75,Horsham,GB,51.064,-0.3272,55.49,85,75,2.3,broken clouds
76,Avarua,CK,-21.2078,-159.775,78.85,65,0,6.91,clear sky
77,Ribeira Grande,PT,38.5167,-28.7,69.66,66,93,5.68,overcast clouds
78,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,40,12.64,scattered clouds
79,Novopokrovka,UA,49.8425,36.5477,37.78,61,33,3.29,scattered clouds
80,San Quintin,MX,30.4833,-115.95,74.93,40,0,9.86,clear sky
81,Nome,US,64.5011,-165.4064,34.16,56,40,13.8,scattered clouds
82,East London,ZA,-33.0153,27.9116,64.33,72,100,16.33,overcast clouds
83,Thompson,CA,55.7435,-97.8558,39.36,87,75,11.5,broken clouds
84,Rio Grande,BR,-32.035,-52.0986,57.31,85,100,23.29,moderate rain
85,Castro,BR,-24.7911,-50.0119,61.47,98,100,3.83,moderate rain
86,Flinders,AU,-34.5833,150.8552,62.2,59,85,15.01,light rain
87,Barabinsk,RU,55.3571,78.357,38.26,88,0,3.49,clear sky
88,Codrington,AU,-38.2667,141.9667,52.95,79,100,15.41,overcast clouds
89,Coquimbo,CL,-29.9533,-71.3436,58.73,72,0,14.97,clear sky
90,Teya,RU,60.3778,92.6267,36.54,97,100,7.02,overcast clouds
91,Sinnamary,GF,5.3833,-52.95,80.46,82,90,11.36,overcast clouds
92,Kerema,PG,-7.9631,145.7785,81.63,72,82,3.36,broken clouds
93,Pokhara,NP,28.2333,83.9833,69.33,38,3,7.81,clear sky
94,Labuhan,ID,-6.8844,112.2051,79.57,75,76,11.14,broken clouds
95,Kirakira,SB,-10.4544,161.9205,82.92,78,98,9.98,heavy intensity rain
96,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,46.04,light intensity shower rain
97,Chkalovskoye,RU,44.8392,133.0436,37.67,61,98,9.66,overcast clouds
98,Luderitz,NA,-26.6481,15.1594,55.33,75,63,15.95,broken clouds
99,Alta Floresta,BR,-9.8756,-56.0861,82.51,58,100,1.9,overcast clouds
100,Pisco,PE,-13.7,-76.2167,68.05,68,0,12.66,clear sky
101,Daru,PG,-9.0763,143.2092,83.32,74,99,6.87,overcast clouds
102,Panguna,PG,-6.3164,155.4848,75.97,82,99,1.7,moderate rain
103,Upernavik,GL,72.7868,-56.1549,21.74,60,22,7.25,few clouds
104,Vigrestad,NO,58.5667,5.7,50.59,68,80,29.19,broken clouds
105,Kaitangata,NZ,-46.2817,169.8464,56.82,51,100,5.32,overcast clouds
106,Bukachacha,RU,52.9833,116.9167,12.6,68,0,2.66,clear sky
107,Lixourion,GR,38.2019,20.4314,63.09,88,100,21.27,overcast clouds
108,Orta Nova,IT,41.3299,15.7107,61.23,59,89,13.6,overcast clouds
109,Omsukchan,RU,62.5333,155.8,4.82,92,100,6.35,overcast clouds
110,Sterling,US,39.0062,-77.4286,77.85,79,1,1.01,clear sky
111,Kavaratti,IN,10.5669,72.642,82.09,81,100,14.32,overcast clouds
112,Okhotsk,RU,59.3833,143.3,19.2,72,98,17.13,overcast clouds
113,Carnarvon,AU,-24.8667,113.6333,68.07,77,40,11.5,scattered clouds
114,Pingzhuang,CN,42.0372,119.2889,27.59,30,0,20.29,clear sky
115,Leningradskiy,RU,69.3833,178.4167,18.25,93,100,5.7,overcast clouds
116,Lagoa,PT,39.05,-27.9833,68.45,63,28,3.06,scattered clouds
117,Hermanus,ZA,-34.4187,19.2345,53.91,67,61,18.9,light rain
118,Husavik,IS,66.0449,-17.3389,33.71,91,90,6.8,light rain
